"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-01"",103.0855,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-02"",103.1457,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-03"",103.0535,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-04"",103.0324,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-05"",103.0036,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-06"",102.891,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-07"",102.8529,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-08"",102.8132,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-09"",102.7564,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-10"",102.6323,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-11"",102.3449,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2000-12"",101.7414,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-01"",101.1435,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-02"",100.7064,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-03"",100.5178,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-04"",100.48,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-05"",100.6205,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-06"",100.7108,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-07"",100.6125,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-08"",100.2678,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-09"",99.77116,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-10"",99.59209,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-11"",99.76099,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2001-12"",100.1697,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-01"",100.5649,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-02"",100.8017,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-03"",101.0158,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-04"",101.0761,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-05"",101.0463,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-06"",100.7597,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-07"",100.376,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-08"",100.0597,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-09"",99.78308,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-10"",99.57422,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-11"",99.59143,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2002-12"",99.58852,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-01"",99.38428,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-02"",99.20311,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-03"",99.29828,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-04"",99.79509,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-05"",100.2849,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-06"",100.4636,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-07"",100.4662,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-08"",100.3639,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-09"",100.3233,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-10"",100.4931,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-11"",100.8276,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2003-12"",101.1747,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2004-01"",101.4946,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2004-02"",101.3645,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2004-03"",101.1724,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2004-04"",100.9764,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2004-05"",100.8867,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2004-06"",101.0446,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2004-07"",101.1722,"
"USA,""CCI"",""AMPLITUD"",""LTRENDIDX"",""M"",""2004-08"",101.1439,"
