DateDay	Financial Crisis_unscaled	Depression_unscaled	Bailout_unscaled	Mortgage Crisis_unscaled	Wall Street_unscaled	Oil_unscaled	Stock Market_unscaled	Subprime_unscaled	loan_unscaled	core inflation_unscaled	debt_unscaled	Brent_unscaled	WTI_unscaled	metals_unscaled	inflation_unscaled	economics_unscaled	stocks_unscaled	gold_unscaled	silver_unscaled	S&P 500_unscaled
2005-04-01	0	61	0	0	82	76	69	100	81	0	55	44	0	26	27	30	53	71	83	51
2005-04-02	0	48	0	0	22	63	65	0	58	0	47	0	0	27	21	68	25	74	76	52
2005-04-03	0	46	0	0	29	88	16	74	73	0	51	78	0	26	41	33	42	99	100	0
2005-04-04	0	96	0	0	37	100	20	0	80	0	65	0	0	100	26	71	62	86	73	0
2005-04-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005-04-06	0	78	0	0	78	88	72	0	100	0	73	86	0	55	59	79	75	66	83	42
2005-04-07	0	78	0	0	81	96	73	46	77	0	86	40	0	73	70	76	67	100	78	16
2005-04-08	59	53	0	0	34	76	43	0	70	0	45	26	0	18	28	65	54	59	82	17
2005-04-09	0	75	0	0	39	55	17	0	81	0	45	100	0	29	0	67	73	65	90	56
2005-04-10	0	61	0	0	16	81	94	0	52	0	50	28	0	29	67	37	26	78	93	0
2005-04-11	0	80	0	0	84	76	68	0	69	0	62	87	0	88	50	64	55	81	88	0
2005-04-12	100	88	0	0	79	60	100	0	81	0	50	74	88	82	47	73	100	83	72	44
2005-04-13	0	95	0	0	60	77	47	0	71	0	64	31	91	39	48	53	86	81	59	30
2005-04-14	54	68	0	0	76	81	39	0	78	0	58	40	0	41	38	80	53	80	62	16
2005-04-15	57	66	0	0	100	72	99	49	80	0	100	51	100	68	27	48	83	73	75	100
2005-04-16	0	57	0	0	55	86	77	0	80	0	45	28	0	43	55	48	53	76	88	28
2005-04-17	0	44	0	0	39	63	43	0	61	0	67	71	0	14	100	48	39	78	83	56
