date	covid-19_unscaled	pandemic_unscaled	covid vaccine_unscaled	social distancing_unscaled
2020-03-01	5	8	5	0
2020-03-02	9	10	8	0
2020-03-03	9	9	8	0
2020-03-04	10	7	10	0
2020-03-05	14	7	9	1
2020-03-06	16	7	12	1
2020-03-07	13	8	8	1
2020-03-08	13	8	13	2
2020-03-09	23	11	19	4
2020-03-10	29	13	18	4
2020-03-11	37	100	33	10
2020-03-12	60	92	43	19
2020-03-13	65	60	45	24
2020-03-14	59	48	52	36
2020-03-15	65	41	60	53
2020-03-16	94	42	100	64
2020-03-17	91	40	76	52
2020-03-18	94	38	75	59
2020-03-19	96	37	79	55
2020-03-20	92	35	51	60
2020-03-21	79	35	48	52
2020-03-22	87	36	45	50
2020-03-23	97	31	56	54
2020-03-24	91	28	51	49
2020-03-25	92	25	42	47
2020-03-26	98	26	39	45
2020-03-27	100	29	50	46
2020-03-28	87	29	46	51
2020-03-29	85	28	55	84
2020-03-30	97	27	59	100
2020-03-31	90	25	57	59
2020-04-01	99	95	63	100
2020-04-02	100	95	72	86
2020-04-03	99	93	93	94
2020-04-04	89	97	90	77
2020-04-05	85	100	93	67
2020-04-06	88	89	87	80
2020-04-07	84	85	74	62
2020-04-08	75	79	54	70
2020-04-09	75	77	57	80
2020-04-10	70	76	76	75
2020-04-11	69	66	58	72
2020-04-12	54	63	69	64
2020-04-13	68	69	68	70
2020-04-14	63	68	56	62
2020-04-15	60	71	77	99
2020-04-16	63	72	83	87
2020-04-17	60	68	57	60
2020-04-18	53	67	59	53
2020-04-19	50	66	47	51
2020-04-20	54	70	49	57
2020-04-21	53	60	59	50
2020-04-22	54	69	83	49
2020-04-23	52	69	80	47
2020-04-24	48	62	62	43
2020-04-25	43	52	58	38
2020-04-26	44	51	73	44
2020-04-27	47	61	70	54
2020-04-28	48	68	67	48
2020-04-29	45	63	100	47
2020-04-30	47	63	79	55
2020-05-01	80	65	53	83
2020-05-02	74	59	37	79
2020-05-03	73	63	57	89
2020-05-04	79	70	56	79
2020-05-05	87	64	65	82
2020-05-06	80	84	77	73
2020-05-07	82	100	69	63
2020-05-08	80	83	67	61
2020-05-09	100	69	52	63
2020-05-10	83	60	45	62
2020-05-11	90	70	61	64
2020-05-12	84	70	61	63
2020-05-13	85	70	58	68
2020-05-14	83	74	65	71
2020-05-15	80	73	77	69
2020-05-16	68	67	62	61
2020-05-17	64	60	74	59
2020-05-18	77	69	100	69
2020-05-19	72	66	87	70
2020-05-20	73	65	61	65
2020-05-21	73	65	64	61
2020-05-22	63	61	56	59
2020-05-23	59	55	51	57
2020-05-24	58	56	49	59
2020-05-25	60	60	52	53
2020-05-26	69	59	77	100
2020-05-27	61	61	52	73
2020-05-28	61	56	44	54
2020-05-29	58	51	36	54
2020-05-30	48	44	38	47
2020-05-31	44	43	37	31
2020-06-01	57	70	35	91
2020-06-02	54	80	27	95
2020-06-03	56	76	34	76
2020-06-04	61	72	41	82
2020-06-05	58	68	33	90
2020-06-06	58	56	48	76
2020-06-07	54	62	36	77
2020-06-08	68	74	39	86
2020-06-09	80	69	39	73
2020-06-10	78	66	48	100
2020-06-11	71	64	49	77
2020-06-12	80	65	49	82
2020-06-13	69	56	39	78
2020-06-14	62	65	46	52
2020-06-15	84	71	54	74
2020-06-16	79	62	68	58
2020-06-17	83	64	52	81
2020-06-18	85	65	48	65
2020-06-19	91	56	61	68
2020-06-20	95	56	55	55
2020-06-21	88	57	58	56
2020-06-22	94	75	74	69
2020-06-23	86	71	77	70
2020-06-24	90	72	100	76
2020-06-25	97	70	84	78
2020-06-26	100	73	93	79
2020-06-27	90	71	85	66
2020-06-28	83	77	78	58
2020-06-29	94	87	100	89
2020-06-30	96	100	89	72
2020-07-01	92	94	39	100
2020-07-02	90	90	39	92
2020-07-03	88	76	41	92
2020-07-04	76	64	31	66
2020-07-05	76	85	45	85
2020-07-06	89	92	44	85
2020-07-07	89	95	44	79
2020-07-08	95	95	47	94
2020-07-09	86	92	43	73
2020-07-10	81	83	41	80
2020-07-11	77	79	43	84
2020-07-12	84	81	54	51
2020-07-13	93	84	63	81
2020-07-14	92	98	78	92
2020-07-15	100	100	100	85
2020-07-16	94	82	74	80
2020-07-17	93	87	52	85
2020-07-18	87	70	50	71
2020-07-19	76	89	49	58
2020-07-20	99	94	80	60
2020-07-21	95	94	70	95
2020-07-22	80	86	63	74
2020-07-23	79	84	53	88
2020-07-24	78	87	39	67
2020-07-25	65	66	33	51
2020-07-26	69	81	35	53
2020-07-27	80	89	54	78
2020-07-28	81	85	62	96
2020-07-29	75	88	54	72
2020-07-30	72	79	48	57
2020-07-31	72	79	49	50
2020-08-01	8	83	39	67
2020-08-02	8	94	38	81
2020-08-03	9	93	42	83
2020-08-04	9	87	38	85
2020-08-05	100	85	42	78
2020-08-06	32	77	36	74
2020-08-07	8	78	33	89
2020-08-08	7	78	28	87
2020-08-09	7	87	37	61
2020-08-10	8	88	37	71
2020-08-11	8	100	100	60
2020-08-12	7	85	61	100
2020-08-13	7	77	45	94
2020-08-14	7	77	32	99
2020-08-15	6	64	36	74
2020-08-16	6	81	31	59
2020-08-17	7	81	31	86
2020-08-18	7	79	33	74
2020-08-19	7	76	29	82
2020-08-20	7	69	33	88
2020-08-21	6	69	28	77
2020-08-22	6	58	32	54
2020-08-23	6	73	27	59
2020-08-24	6	75	33	68
2020-08-25	6	70	27	83
2020-08-26	6	67	25	73
2020-08-27	6	60	27	66
2020-08-28	5	63	25	97
2020-08-29	5	47	26	68
2020-08-30	5	63	25	60
2020-08-31	6	72	33	78
2020-09-01	85	69	47	86
2020-09-02	85	74	53	100
2020-09-03	100	69	100	81
2020-09-04	78	55	76	80
2020-09-05	76	56	60	62
2020-09-06	78	67	52	86
2020-09-07	77	66	51	70
2020-09-08	82	69	62	89
2020-09-09	90	75	72	70
2020-09-10	82	69	56	94
2020-09-11	74	67	42	76
2020-09-12	74	53	50	60
2020-09-13	71	63	40	45
2020-09-14	77	70	50	78
2020-09-15	71	68	43	68
2020-09-16	88	71	59	96
2020-09-17	78	68	59	93
2020-09-18	71	63	46	98
2020-09-19	68	51	36	49
2020-09-20	67	65	40	53
2020-09-21	75	64	38	91
2020-09-22	79	69	45	83
2020-09-23	87	65	48	95
2020-09-24	74	61	37	89
2020-09-25	69	58	39	88
2020-09-26	67	51	35	47
2020-09-27	63	64	39	78
2020-09-28	69	70	36	58
2020-09-29	71	70	42	73
2020-09-30	77	100	32	47
2020-10-01	65	100	61	76
2020-10-02	100	63	70	93
2020-10-03	75	50	59	61
2020-10-04	59	52	54	95
2020-10-05	79	49	71	90
2020-10-06	65	42	77	100
2020-10-07	69	41	54	76
2020-10-08	66	45	63	81
2020-10-09	56	39	62	44
2020-10-10	54	33	52	52
2020-10-11	49	36	69	37
2020-10-12	56	37	73	76
2020-10-13	59	35	88	55
2020-10-14	71	32	75	70
2020-10-15	64	35	73	50
2020-10-16	57	32	63	81
2020-10-17	54	26	67	50
2020-10-18	57	31	63	54
2020-10-19	63	34	81	55
2020-10-20	67	36	85	56
2020-10-21	76	35	92	73
2020-10-22	63	33	90	67
2020-10-23	56	29	100	59
2020-10-24	61	31	67	52
2020-10-25	55	32	64	58
2020-10-26	71	42	72	69
2020-10-27	67	35	78	65
2020-10-28	82	42	88	83
2020-10-29	70	40	69	58
2020-10-30	68	36	79	59
2020-10-31	65	31	70	56
2020-11-01	51	74	16	64
2020-11-02	52	82	14	92
2020-11-03	46	68	14	79
2020-11-04	36	41	7	37
2020-11-05	39	48	9	50
2020-11-06	43	51	11	53
2020-11-07	43	55	12	62
2020-11-08	43	70	18	74
2020-11-09	62	82	100	69
2020-11-10	66	70	74	79
2020-11-11	80	68	53	86
2020-11-12	79	79	42	80
2020-11-13	79	80	51	63
2020-11-14	70	69	46	49
2020-11-15	72	86	32	55
2020-11-16	87	100	61	80
2020-11-17	86	86	61	94
2020-11-18	100	89	64	85
2020-11-19	79	81	59	67
2020-11-20	73	85	55	92
2020-11-21	64	71	44	76
2020-11-22	59	89	47	83
2020-11-23	70	90	56	100
2020-11-24	64	86	62	72
2020-11-25	72	82	55	49
2020-11-26	46	66	44	51
2020-11-27	50	65	41	43
2020-11-28	52	64	43	55
2020-11-29	54	86	54	54
2020-11-30	64	87	62	51
2020-12-01	78	84	24	44
2020-12-02	92	80	30	100
2020-12-03	84	80	31	94
2020-12-04	78	76	33	73
2020-12-05	79	70	34	47
2020-12-06	62	83	30	42
2020-12-07	84	96	32	72
2020-12-08	89	81	46	55
2020-12-09	100	81	56	67
2020-12-10	83	84	59	58
2020-12-11	82	80	61	45
2020-12-12	69	73	67	70
2020-12-13	71	80	65	52
2020-12-14	85	82	86	53
2020-12-15	83	74	88	66
2020-12-16	91	80	73	43
